Date,Message
2018-02-14T00:00:00.000-00:00,";9,449.99;8,722.142;10,778.262;NaN;8.345;-12.324;NaN;1.471;-3.677;NaN;-19.077;NaN"
2018-02-15T00:00:00.000-00:00,";10,000.09;8,954.497;10,750.47;NaN;11.677;-6.98;NaN;4.31;-3.104;NaN;-16.706;NaN"
2018-02-16T00:00:00.000-00:00,";10,159.98;9,173.675;10,729.381;NaN;10.751;-5.307;NaN;8.055;-2.341;NaN;-14.499;NaN"
2018-02-17T00:00:00.000-00:00,";11,039.55;9,512.925;10,740.459;NaN;16.048;2.785;NaN;11.068;-1.574;NaN;-11.429;NaN"
2018-02-18T00:00:00.000-00:00,";10,383.43;9,671.199;10,727.708;NaN;7.364;-3.209;NaN;12.976;-0.921;NaN;-9.848;NaN"
2018-02-19T00:00:00.000-00:00,";11,153;9,940.617;10,742.897;NaN;12.196;3.817;NaN;13.97;-0.328;NaN;-7.468;NaN"
2018-02-20T00:00:00.000-00:00,";11,200.99;10,169.776;10,759.257;NaN;10.14;4.106;NaN;13.572;0.082;NaN;-5.479;NaN"
2018-02-21T00:00:00.000-00:00,";10,437.6;10,218.471;10,747.769;NaN;2.144;-2.886;NaN;11.389;0.171;NaN;-4.925;NaN"
2018-02-22T00:00:00.000-00:00,";9,811.04;10,144.393;10,714.315;NaN;-3.286;-8.431;NaN;6.638;-0.243;NaN;-5.319;NaN"
2018-02-23T00:00:00.000-00:00,";10,131.04;10,141.965;10,693.483;NaN;-0.108;-5.26;NaN;4.868;-0.319;NaN;-5.158;NaN"
2018-02-24T00:00:00.000-00:00,";9,694.51;10,060.61;10,657.806;NaN;-3.639;-9.038;NaN;1.207;-0.792;NaN;-5.603;NaN"
2018-02-25T00:00:00.000-00:00,";9,590;9,975.044;10,619.67;NaN;-3.86;-9.696;NaN;-1.915;-1.297;NaN;-6.07;NaN"
2018-02-26T00:00:00.000-00:00,";10,324;10,038.491;10,609.11;NaN;2.844;-2.687;NaN;-1.761;-1.29;NaN;-5.379;NaN"
2018-02-27T00:00:00.000-00:00,";10,569.04;10,134.954;10,607.679;NaN;4.283;-0.364;NaN;-0.093;-0.995;NaN;-4.456;NaN"
2018-02-28T00:00:00.000-00:00,";10,326.76;10,169.828;10,597.646;NaN;1.543;-2.556;NaN;0.275;-0.896;NaN;-4.037;NaN"
2018-03-01T00:00:00.000-00:00,";10,920;10,306.223;10,609.159;NaN;5.955;2.93;NaN;2.441;-0.456;NaN;-2.855;NaN"
2018-03-02T00:00:00.000-00:00,";11,039;10,439.455;10,624.51;NaN;5.743;3.901;NaN;4.656;0.046;NaN;-1.742;NaN"
2018-03-03T00:00:00.000-00:00,";11,464.48;10,625.823;10,654.509;NaN;7.893;7.602;NaN;5.851;0.428;NaN;-0.269;NaN"
2018-03-04T00:00:00.000-00:00,";11,515;10,787.492;10,685.241;NaN;6.744;7.765;NaN;6.438;0.731;NaN;0.957;NaN"
2018-03-05T00:00:00.000-00:00,";11,454;10,908.675;10,712.697;NaN;4.999;6.92;NaN;7.265;1.086;NaN;1.829;NaN"
2018-03-06T00:00:00.000-00:00,";10,716.48;10,873.731;10,712.832;NaN;-1.446;0.034;NaN;5.506;0.977;NaN;1.502;NaN"
2018-03-07T00:00:00.000-00:00,";9,910;10,698.507;10,684.159;NaN;-7.37;-7.246;NaN;2.481;0.561;NaN;0.134;NaN"
2018-03-08T00:00:00.000-00:00,";9,271.64;10,439.076;10,633.712;NaN;-11.183;-12.809;NaN;-1.757;-0.195;NaN;-1.83;NaN"
2018-03-09T00:00:00.000-00:00,";9,227;10,218.699;10,583.473;NaN;-9.705;-12.817;NaN;-5.273;-0.952;NaN;-3.447;NaN"
2018-03-10T00:00:00.000-00:00,";8,770.22;9,955.339;10,518.714;NaN;-11.904;-16.623;NaN;-8.739;-1.811;NaN;-5.356;NaN"
2018-03-11T00:00:00.000-00:00,";9,533.57;9,878.654;10,483.53;NaN;-3.493;-9.061;NaN;-9.151;-2.14;NaN;-5.77;NaN"
2018-03-12T00:00:00.000-00:00,";9,131.34;9,742.779;10,435.237;NaN;-6.276;-12.495;NaN;-8.933;-2.33;NaN;-6.636;NaN"
2018-03-13T00:00:00.000-00:00,";9,150;9,635.001;10,389.336;NaN;-5.034;-11.929;NaN;-7.703;-2.298;NaN;-7.261;NaN"
2018-03-14T00:00:00.000-00:00,";8,170;9,368.637;10,310.074;NaN;-12.794;-20.757;NaN;-8.319;-2.583;NaN;-9.131;NaN"
2018-03-15T00:00:00.000-00:00,";8,240.98;9,163.608;10,236.178;NaN;-10.068;-19.492;NaN;-7.953;-2.686;NaN;-10.478;NaN"
2018-03-16T00:00:00.000-00:00,";8,260;8,999.316;10,165.6;NaN;-8.215;-18.746;NaN;-8.901;-3.033;NaN;-11.473;NaN"
2018-03-17T00:00:00.000-00:00,";7,824.8;8,785.768;10,082;NaN;-10.938;-22.388;NaN;-9.823;-3.385;NaN;-12.857;NaN"
2018-03-18T00:00:00.000-00:00,";8,189.99;8,677.444;10,014.428;NaN;-5.617;-18.218;NaN;-9.938;-3.609;NaN;-13.351;NaN"
2018-03-19T00:00:00.000-00:00,";8,600;8,663.364;9,963.913;NaN;-0.731;-13.689;NaN;-7.528;-3.358;NaN;-13.053;NaN"
2018-03-20T00:00:00.000-00:00,";8,909.98;8,708.203;9,926.272;NaN;2.317;-10.238;NaN;-4.97;-3.028;NaN;-12.271;NaN"
2018-03-21T00:00:00.000-00:00,";8,885;8,740.348;9,889.084;NaN;1.655;-10.153;NaN;-2.878;-2.72;NaN;-11.616;NaN"
2018-03-22T00:00:00.000-00:00,";8,722.9;8,737.176;9,847.435;NaN;-0.163;-11.42;NaN;-0.553;-2.327;NaN;-11.275;NaN"
2018-03-23T00:00:00.000-00:00,";8,898.03;8,766.422;9,813.527;NaN;1.501;-9.329;NaN;1.025;-2.006;NaN;-10.67;NaN"
2018-03-24T00:00:00.000-00:00,";8,546.86;8,726.501;9,768.289;NaN;-2.059;-12.504;NaN;0.729;-1.963;NaN;-10.665;NaN"
2018-03-25T00:00:00.000-00:00,";8,470.15;8,679.892;9,721.927;NaN;-2.416;-12.876;NaN;-0.325;-2.059;NaN;-10.718;NaN"
2018-03-26T00:00:00.000-00:00,";8,134.23;8,580.681;9,665.224;NaN;-5.203;-15.84;NaN;-1.827;-2.264;NaN;-11.221;NaN"
2018-03-27T00:00:00.000-00:00,";7,795.51;8,437.922;9,598.448;NaN;-7.613;-18.784;NaN;-3.425;-2.528;NaN;-12.091;NaN"
2018-03-28T00:00:00.000-00:00,";7,949.3;8,349.082;9,539.55;NaN;-4.788;-16.67;NaN;-4.761;-2.792;NaN;-12.479;NaN"
2018-03-29T00:00:00.000-00:00,";7,090.14;8,120.183;9,452.071;NaN;-12.685;-24.989;NaN;-6.948;-3.237;NaN;-14.091;NaN"
2018-03-30T00:00:00.000-00:00,";6,840.23;7,887.465;9,358.791;NaN;-13.277;-26.911;NaN;-9.129;-3.735;NaN;-15.721;NaN"
2018-03-31T00:00:00.000-00:00,";6,923.91;7,712.273;9,271.831;NaN;-10.222;-25.323;NaN;-10.121;-4.07;NaN;-16.82;NaN"
2018-04-01T00:00:00.000-00:00,";6,813.01;7,548.771;9,184.016;NaN;-9.747;-25.817;NaN;-10.538;-4.318;NaN;-17.805;NaN"
2018-04-02T00:00:00.000-00:00,";7,056;7,459.176;9,108.015;NaN;-5.405;-22.53;NaN;-10.659;-4.524;NaN;-18.103;NaN"
